year,month,day,TAVG,TMAX,TMIN,,,0,,,
1882,1,3,1.7,8.7,-4.4,,,,,,
1882,1,4,5,13.9,-4.4,,,,,,
1882,1,5,8.8,16.3,1.2,,,,,,
1882,1,6,7.7,16.3,0.8,,,,,,
1882,1,7,5.1,10.7,-1.8,,,,,,
1882,1,8,5.8,10.1,-1.8,,,,,,
1882,1,9,4.7,10.1,-1.6,,,,,,
1882,1,10,3,10.8,-2.3,,,,,,
1882,1,11,2.6,10.8,-2.3,,,,,,
1882,1,12,1.7,5.6,-1.9,,,,,,
1882,1,13,2.2,7.8,-1.1,,,,,,
1882,1,14,1.9,7.8,-3.1,,,,,,
1882,1,15,0.9,5.6,-3.1,,,,,,
1882,1,16,1,4,-2.5,,,,,,
1882,1,17,1.8,6.6,-3.8,,,,,,
1882,1,18,3.2,9.6,-3.8,,,,,,
1882,1,19,4.5,11.3,-6.6,,,,,,
1882,1,20,5,13,-6.6,,,,,,
1882,1,21,4.3,13,-0.3,,,,,,
1882,1,22,3.1,10.1,-1.2,,,,,,
1882,1,23,3.6,10.1,-3.4,,,,,,
1882,1,24,5.9,10.1,-3.4,,,,,,
1882,1,25,7.9,14.6,0.8,,,,,,
1882,1,26,8.8,14.6,0.8,,,,,,
1882,1,27,6.2,11.4,0.6,,,,,,
1882,1,28,2.8,7.3,-0.9,,,,,,
1882,1,29,3,8.5,-0.9,,,,,,
1882,1,30,5.7,10.1,-0.4,,,,,,
1882,1,31,9.2,14.6,2.8,,,,,,
1882,2,1,8.6,14.6,3.7,,,,,,
1882,2,2,5.6,9.1,-3.1,,,,,,
1882,2,3,4.4,9,-3.1,,,,,,
1882,2,4,4.9,9,0.7,,,,,,
1882,2,5,7,10.9,1.3,,,,,,
1882,2,6,6.7,10.9,3.9,,,,,,
1882,2,7,5.2,8.2,2.1,,,,,,
1882,2,8,4.1,7.7,-0.4,,,,,,
1882,2,9,3.2,7.7,-0.4,,,,,,
1882,2,10,3.7,9.1,-0.2,,,,,,
1882,2,11,4.4,9.6,1.3,,,,,,
1882,2,12,4.1,9.6,-0.1,,,,,,
1882,2,13,2.5,8.5,-1.2,,,,,,
1882,2,14,2.4,5.8,-1.4,,,,,,
1882,2,15,4.4,10.9,-1.4,,,,,,
1882,2,16,6.4,10.9,1.2,,,,,,
1882,2,17,8.8,13.9,4.5,,,,,,
1882,2,18,8.6,13.9,2.6,,,,,,
1882,2,19,6.4,10.7,0.3,,,,,,
1882,2,20,6,10.7,0.3,,,,,,
1882,2,21,5.2,10.2,-0.4,,,,,,
1882,2,22,2.9,8.4,-2.5,,,,,,
1882,2,23,1.8,7.4,-3.4,,,,,,
1882,2,24,1.2,8.4,-3.4,,,,,,
1882,2,25,2.7,12.4,-3.3,,,,,,
1882,2,26,4.4,12.4,-3.1,,,,,,
1882,2,27,2.4,7.6,-3.2,,,,,,
1882,2,28,0.9,6.2,-3.2,,,,,,
1882,3,1,2.6,9,-3.1,,,,,,
1882,3,2,3.3,9,-2.7,,,,,,
1882,3,3,3.6,11.5,-3.9,,,,,,
1882,3,4,4.4,11.5,-3.9,,,,,,
1882,3,5,2.7,10.7,-2.8,,,,,,
1882,3,6,1.6,6.2,-3.1,,,,,,
1882,3,7,2.5,10.1,-5.3,,,,,,
1882,3,8,3.2,10.2,-5.3,,,,,,
1882,3,9,3.6,10.2,-1.7,,,,,,
1882,3,10,3.5,12.3,-4.6,,,,,,
1882,3,11,3,12.3,-4.6,,,,,,
1882,3,12,3.6,11.2,-2.8,,,,,,
1882,3,13,2.6,10.1,-3.7,,,,,,
1882,3,14,1.7,12.8,-5.7,,,,,,
1882,3,15,5.3,15.2,-5.7,,,,,,
1882,3,16,7.8,16.1,-2.1,,,,,,
1882,3,17,9.2,20.9,0.1,,,,,,
1882,3,18,10.9,20.9,0.8,,,,,,
1882,3,19,11.5,20.1,1,,,,,,
